app,platform,arch,filename,executable_name,size_bytes,sha256,sha1,source_url,captured_at
Adobe Acrobat Reader,Windows,x64,AcroRdrDCx642600121789_MUI.exe,AcroRd32.exe,,f285a73605be56b07b21e7e57e4c55a15e65e513ef2316436a1d36adfa69e83b,,https://ardownload2.adobe.com/pub/adobe/acrobat/win/AcrobatDC/2600121789/AcroRdrDCx642600121789_MUI.exe,2026-08-26T06:54:35Z
Adobe Acrobat Reader,Windows,x64,AcroRdrDCx642600121745_MUI.exe,AcroRd32.exe,,4752935149f5128b84ff15d8d18b51da23d52a2f16cebe6d40be22e1c4ae4a41,,https://ardownload2.adobe.com/pub/adobe/acrobat/win/AcrobatDC/2600121745/AcroRdrDCx642600121745_MUI.exe,2026-08-26T06:54:35Z
Adobe Acrobat Reader,Windows,x64,AcroRdrDCx642600121771_MUI.exe,AcroRd32.exe,,290696326395fdd08cc11b467372ff68aa5e60e1d577a3910e1103a5690ceb4a,,https://ardownload3.adobe.com/pub/adobe/acrobat/win/AcrobatDC/2600121771/AcroRdrDCx642600121771_MUI.exe,2026-08-26T06:54:35Z
AnyDesk,macOS,universal,anydesk.dmg,AnyDesk,25919082,5acabf230057c457456f7a6eb4746cbc524c09d6d415639783845521f0fc3acc,b4bb4ffbc0f2f10f688dd4b4c0911536181b6ab1,https://download.anydesk.com/anydesk.dmg,2026-08-26T06:54:35Z
AnyDesk,macOS,universal,anydesk.dmg,AnyDesk,19638082,2c96df77040a19429b75b5add9de6c769025a48f3bcfcfe5c858f6cfb9c8a205,c15c9420845d15c258f2652d2460d73e17b25c18,https://download.anydesk.com/anydesk.dmg,2026-06-06T17:30:00Z
AnyDesk,Windows,x64,AnyDesk.exe,AnyDesk.exe,,89e0a41a37d360d81bb0bfd89537dbbb3bdf45917adfe88ae3cb19d4f6b3c81e,,https://download.anydesk.com/AnyDesk.exe,2026-08-26T06:54:35Z
AnyDesk,Windows,x64,AnyDesk.exe,AnyDesk.exe,8316856,9f1effd1929bb3af3318e1500af2221b990e3ceb5bdae2d327e3fc8929fc41dc,6918c0be905c9fbb18d20fb78296251e270125c8,https://download.anydesk.com/AnyDesk.exe,2026-06-06T19:25:00Z
ChatGPT Desktop,macOS,universal,ChatGPT.dmg,ChatGPT,78575566,49b33cadd2ec659b76352384f7ebd332a7ec7029663365a9f720f4a251d3b8d1,fee8730f50f5711511bc5e2e8754156795943ae7,https://persistent.oaistatic.com/sidekick/public/ChatGPT.dmg,2026-08-26T06:54:35Z
ChatGPT Desktop,macOS,universal,ChatGPT.dmg,ChatGPT,34698562,bd9722304ae73d0bfb90ac21768b56a0030362bd3e6b7669f45ced76f09eed41,3a2a6266010c0c480f8025b015362363d1ff1310,https://persistent.oaistatic.com/sidekick/public/ChatGPT.dmg,2026-06-06T17:30:00Z
Cursor,macOS,arm64,Cursor-darwin-arm64.dmg,Cursor,25882744,4f12e91c67381fe5b69cd6388334bccf8402ba0da551982663ebfbe8ef2057eb,b90654af99dca410f9359ca86697e37d66e4c094,https://downloads.cursor.com/production/b887a26c4f70bd8136bfffeda812b24194ec9ce0/darwin/arm64/Cursor-darwin-arm64.dmg,2026-06-06T17:30:00Z
Cursor,Windows,x64,CursorUserSetup-x64-3.14.7.exe,Cursor.exe,,93b3ad1b9971c8ff9be18fc9c46d592749e47ea6d2e3711efe6d5a9d4091877f,,https://downloads.cursor.com/production/a758f2241ca99fecf380180b6cbdbbce0f1f42cf/win32/x64/user-setup/CursorUserSetup-x64-3.14.7.exe,2026-08-26T06:54:35Z
Cursor,Windows,x64,CursorUserSetup-x64-3.14.27.exe,Cursor.exe,,2e83123e31a99e16cb529caca2de148a9134f0d612a466ddb7d967665fcce85b,,https://downloads.cursor.com/production/047548b00c1a079373d74d00183f32510a4a41e1/win32/x64/user-setup/CursorUserSetup-x64-3.14.27.exe,2026-08-26T06:54:35Z
Cursor,Windows,x64,CursorUserSetup-x64-3.13.25.exe,Cursor.exe,,2071af190d0b01325a791f19e2936387ccc8232e1c4960bf790bb71bf8444a96,,https://downloads.cursor.com/production/31e8d61c448c7472e371505838a0fe34083dad55/win32/x64/user-setup/CursorUserSetup-x64-3.13.25.exe,2026-08-26T06:54:35Z
Ghidra,cross-platform,jar,ghidra_12.1.3_PUBLIC.zip,ghidraRun,569445154,93a5d11a9ad510622acaaf908c556a7b9b764d338e78a7567f3689bf5081fd54,aaec96cec39f34fcdf16c9f44153c76d024817a7,https://github.com/NationalSecurityAgency/ghidra/releases/download/Ghidra_12.1.3_build/ghidra_12.1.3_PUBLIC_20260817.zip,2026-08-26T06:54:35Z
Ghidra,cross-platform,jar,ghidra_12.1.2_PUBLIC.zip,ghidraRun,35125262,55f4b89f988bb83c5090860073934653f67fbc5f2b26cad527210c71636eac46,1e099e252013b12116f785e985c997ae973db341,https://github.com/NationalSecurityAgency/ghidra/releases/download/Ghidra_12.1.2_build/ghidra_12.1.2_PUBLIC_20260605.zip,2026-06-06T17:30:00Z
Google Chrome,macOS,universal,googlechrome.dmg,Google Chrome,277180860,808a3de7957abf564dad00b0d41ad43bd0c51446fc0636239d14774185ebdff5,5eac7b04121201a2a79d6faa7fabb18bd661d055,https://dl.google.com/chrome/mac/universal/stable/GGRO/googlechrome.dmg,2026-08-26T06:54:35Z
Google Chrome,macOS,universal,googlechrome.dmg,Google Chrome,265357025,a554745b5c860b1528eb85695269b310549e758657905da5d20448a20d87904c,b54def4c906bb50cd7f47a2579de425211b7920a,https://dl.google.com/chrome/mac/universal/stable/GGRO/googlechrome.dmg,2026-06-06T17:30:00Z
Google Chrome,Windows,x64,googlechromestandaloneenterprise64.msi,chrome.exe,,b5f03c8d228c79a4eafb071be89aa34afa46ede60e898ec1988600bbb5d7b451,,https://dl.google.com/dl/chrome/install/googlechromestandaloneenterprise64.msi,2026-08-26T06:54:35Z
Google Chrome,Windows,x64,ChromeStandaloneEnterprise64.msi,chrome.exe,154144768,70cdfe7b44846b7aa3f73a366a1221083944f3af367d246bad5daf07739408dd,8318d0c2756fa9345c4a0c29d36bbf47779c8696,https://dl.google.com/dl/chrome/install/googlechromestandaloneenterprise64.msi,2026-06-06T19:25:00Z
Google Chrome,Windows,x64,chrome_installer.exe,chrome.exe,11785144,203980641389366aaf5c8da29c2de1a6535980888ef6479bff8fb6a89bc39ddd,cc5e26dfa06f76eb2253c94a3ec25e79b9a4ce30,https://dl.google.com/chrome/install/latest/chrome_installer.exe,2026-06-06T19:25:00Z
Microsoft Teams,macOS,universal,MicrosoftTeams.pkg,Microsoft Teams,357099924,f0eb1ef43ead863940d560b65e45f21460013307efead39744b24fceb8baf97b,a6c98a918c2e0f6818076563b7adbe8e8677ff52,https://go.microsoft.com/fwlink/?linkid=869428,2026-08-26T06:54:35Z
Microsoft Teams,Windows,x64,MSTeams-x64.msix,ms-teams.exe,,be9398b1ad88b114f5a7a7da9084acf90f7f2d39d7ebe0034a0c260755c8c446,,https://teamsinstaller.public.onecdn.static.microsoft/production-windows-x64/26163.405.4842.717/MSTeams-x64.msix,2026-08-26T06:54:35Z
Microsoft Teams,Windows,x64,MSTeams-x64.msix,ms-teams.exe,,9a6c64989e449ec2478873d0c6045ce61f4d516a0e4e19dfd45126faa6a232ea,,https://teamsinstaller.public.onecdn.static.microsoft/production-windows-x64/26198.304.4946.9672/MSTeams-x64.msix,2026-08-26T06:54:35Z
Microsoft Teams,Windows,x64,MSTeams-x64.msix,ms-teams.exe,,7aafdf57affc87fddd0fe9ec7bd2fd3c1f5735fbd29033002839d00f12dd3f8b,,https://teamsinstaller.public.onecdn.static.microsoft/production-windows-x64/26183.1903.4892.4448/MSTeams-x64.msix,2026-08-26T06:54:35Z
Notion,macOS,universal,Notion-universal.dmg,Notion,216871253,cda6252278549911a8a84a6bc671aeb923c944ad861899e50e6de98e261e3ea4,9df51422503aed21248e60c1f1971039268fd6a7,https://www.notion.com/desktop/mac-universal/download,2026-08-26T06:54:35Z
Notion,macOS,universal,Notion-universal.dmg,Notion,23751296,616e88cb385950bf5df1c81d44384f9714fafd9da24222a91a2511354b88952d,4a8856a3af6782d0278712bc14317b7316447c4c,https://www.notion.com/desktop/mac-universal/download,2026-06-06T17:30:00Z
Notion,Windows,x64,Notion Setup 7.31.2.exe,Notion.exe,,c56dde4341773080d5d57c1f83e879c85d95573ab0861a2f6d3de15f5c229af2,,https://desktop-release.notion-static.com/Notion%20Setup%207.31.2.exe,2026-08-26T06:54:35Z
