type,value,source_url,source_title,article_published_at,first_seen
domain,0uh4-wem-j7u18h.vesquezz-serintoncs-rtneres-om-s-oundh.workers.dev,https://cybersecuritynews.com/hackers-abuse-oauth-device-authorization-flow,Hackers Abuse OAuth Device Authorization Flow to Steal Microsoft 365 Tokens,2026-05-15T14:53:32.000Z,2026-05-26T05:33:38.177Z
domain,1-you.njalla.no,https://cybersecuritynews.com/malicious-nuget-packages-target-browser-credentials,"Malicious NuGet Packages Target Browser Credentials, SSH Keys, and Crypto Wallets",2026-05-07T09:49:42.000Z,2026-05-26T05:33:38.177Z
domain,2-can.njalla.in,https://cybersecuritynews.com/malicious-nuget-packages-target-browser-credentials,"Malicious NuGet Packages Target Browser Credentials, SSH Keys, and Crypto Wallets",2026-05-07T09:49:42.000Z,2026-05-26T05:33:38.177Z
domain,87e0bbc636999b.lhr.life,https://cybersecuritynews.com/malicious-npm-packages-steal-keys,"Four Malicious npm Packages Steal SSH Keys, Cloud Credentials, and Crypto Wallets",2026-05-18T09:57:43.000Z,2026-05-26T05:33:38.177Z
domain,ableinfo.co.kr,https://cybersecuritynews.com/new-stealthy-vidar-stealer-campaign,New Stealthy Vidar Stealer Campaign Bypass EDR and Steal Credentials,2026-05-12T15:37:59.000Z,2026-05-26T05:33:38.177Z
domain,adobe-pdfreader.b-cdn.net,https://cybersecuritynews.com/operation-dragon-whistle-uses-malicious-lnk-files,Operation Dragon Whistle Uses Malicious LNK Files to Target Changzhou University,2026-05-22T14:44:33.000Z,2026-05-26T05:33:38.177Z
domain,agenciakharis.com.br,https://cybersecuritynews.com/cloud-atlas-apt-group-modifies-termsrv-dll,Cloud Atlas APT Group Modifies termsrv.dll to Enable Multiple RDP Sessions on Victim Hosts,2026-05-25T19:48:22.000Z,2026-05-26T05:33:38.177Z
domain,allgoodsdirect.com.au,https://cybersecuritynews.com/cloud-atlas-apt-group-modifies-termsrv-dll,Cloud Atlas APT Group Modifies termsrv.dll to Enable Multiple RDP Sessions on Victim Hosts,2026-05-25T19:48:22.000Z,2026-05-26T05:33:38.177Z
domain,alnakhlah.com.sa,https://cybersecuritynews.com/cloud-atlas-apt-group-modifies-termsrv-dll,Cloud Atlas APT Group Modifies termsrv.dll to Enable Multiple RDP Sessions on Victim Hosts,2026-05-25T19:48:22.000Z,2026-05-26T05:33:38.177Z
domain,api.eth-fastscan.org,https://cybersecuritynews.com/trending-hugging-face-repository-with-200k-downloads,Trending Hugging Face Repository With 200k Downloads Executes Malware on Windows Machines,2026-05-11T12:35:48.000Z,2026-05-26T05:33:38.177Z
domain,api.masscan.cloud,https://cybersecuritynews.com/hackers-compromise-170-npm-packages,"Hackers Compromise 170 npm Packages to Steal GitHub, npm, AWS, and Kubernetes Secrets",2026-05-14T17:21:48.000Z,2026-05-26T05:33:38.177Z
domain,api.modobomco.com,https://cybersecuritynews.com/android-malware-silently-subscribes-victims,Android Malware Silently Subscribes Victims to Premium Services Without Consent,2026-05-22T15:23:52.000Z,2026-05-26T05:33:38.177Z
domain,api.svix.com,https://cybersecuritynews.com/malicious-npm-package-brand-squats-tanstack,Malicious npm Package Brand-Squats TanStack Exfiltrate Developer Secrets,2026-04-30T07:49:39.000Z,2026-05-26T05:33:38.177Z
domain,api.telegram.org,https://cybersecuritynews.com/hackers-use-fake-openclaw-installer,Hackers Use Fake OpenClaw Installer to Steal Crypto Wallet and Password Manager Credentials,2026-05-08T17:15:20.000Z,2026-05-26T05:33:38.177Z
domain,apizep.mwmze.com,https://cybersecuritynews.com/android-malware-silently-subscribes-victims,Android Malware Silently Subscribes Victims to Premium Services Without Consent,2026-05-22T15:23:52.000Z,2026-05-26T05:33:38.177Z
domain,apple-mac-fix-hidden.medium.com,https://cybersecuritynews.com/new-clickfix-attack-targets-macos-users,New ClickFix Attack Targets macOS Users With Fake Disk Cleanup and Utility Lures,2026-05-07T06:51:56.000Z,2026-05-26T05:33:38.177Z
domain,b94b6bcfa27554.lhr.life,https://cybersecuritynews.com/malicious-npm-packages-steal-keys,"Four Malicious npm Packages Steal SSH Keys, Cloud Credentials, and Crypto Wallets",2026-05-18T09:57:43.000Z,2026-05-26T05:33:38.177Z
domain,buck2nd.oss-eu-central-1.aliyuncs.com,https://cybersecuritynews.com/hackers-abuse-mshta-legacy-windows-tool,Hackers Abuse MSHTA Legacy Windows Tool to Deliver LummaStealer and Amatera Malware,2026-05-20T11:20:28.000Z,2026-05-26T05:33:38.177Z
domain,campanha1-api.ef971a42.workers.dev,https://cybersecuritynews.com/tclbanker-malware-targets-users-whatsapp-outlook-worm-modules,TCLBANKER Malware Targets Users Through Self-Propagating WhatsApp and Outlook Worm Modules,2026-05-09T06:00:28.000Z,2026-05-26T05:33:38.177Z
domain,cdn.artdataharvest.com,https://cybersecuritynews.com/magecart-hackers-abuse-google-tag-manager,Magecart Hackers Abuse Google Tag Manager to Inject Credit Card Skimmers,2026-05-12T08:30:09.000Z,2026-05-26T05:33:38.177Z
domain,cdn.artisticpatterndata.com,https://cybersecuritynews.com/magecart-hackers-abuse-google-tag-manager,Magecart Hackers Abuse Google Tag Manager to Inject Credit Card Skimmers,2026-05-12T08:30:09.000Z,2026-05-26T05:33:38.177Z
email,wayneevenson@protonmail.com,https://www.ransomware.live/group/ryuk,Ransomware.live - ryuk,,2026-05-18T07:32:53.173Z
email,wayneevenson@tutanota.com,https://www.ransomware.live/group/ryuk,Ransomware.live - ryuk,,2026-05-18T07:32:53.173Z
email,wehavesolution@onionmail.org,https://www.ransomware.live/group/8base,Ransomware.live - 8base,,2026-05-18T07:32:53.173Z
email,yagamuchi@mailum.com,https://www.ransomware.live/group/blackfield,Ransomware.live - blackfield,,2026-05-18T07:32:53.173Z
email,yamaguchigumi@cock.li,https://www.ransomware.live/group/risen,Ransomware.live - risen,,2026-05-18T07:32:53.173Z
email,znhsupport@protonmail.com,https://www.ransomware.live/group/luckbit,Ransomware.live - luckbit,,2026-05-18T07:32:53.173Z
filename,_cr.py,https://cybersecuritynews.com/new-pcpjack-worm-targets-docker,"New PCPJack Worm Targets Docker, Kubernetes, Redis, and MongoDB for Credential Theft",2026-05-08T10:31:03.000Z,2026-05-26T05:33:38.177Z
filename,_csc.py,https://cybersecuritynews.com/new-pcpjack-worm-targets-docker,"New PCPJack Worm Targets Docker, Kubernetes, Redis, and MongoDB for Credential Theft",2026-05-08T10:31:03.000Z,2026-05-26T05:33:38.177Z
filename,_cu.py,https://cybersecuritynews.com/new-pcpjack-worm-targets-docker,"New PCPJack Worm Targets Docker, Kubernetes, Redis, and MongoDB for Credential Theft",2026-05-08T10:31:03.000Z,2026-05-26T05:33:38.177Z
filename,_lat.py,https://cybersecuritynews.com/new-pcpjack-worm-targets-docker,"New PCPJack Worm Targets Docker, Kubernetes, Redis, and MongoDB for Credential Theft",2026-05-08T10:31:03.000Z,2026-05-26T05:33:38.177Z
filename,.hwpx.jse,https://cybersecuritynews.com/kimsuky-hackers-use-lnk-and-jse-lures-to-target-recruiters,"Kimsuky Hackers Use LNK and JSE Lures to Target Recruiters, Crypto Users, and Defense Officials",2026-05-19T18:51:39.000Z,2026-05-26T05:33:38.177Z
filename,.hwpx.jse.zip,https://cybersecuritynews.com/kimsuky-hackers-use-lnk-and-jse-lures-to-target-recruiters,"Kimsuky Hackers Use LNK and JSE Lures to Target Recruiters, Crypto Users, and Defense Officials",2026-05-19T18:51:39.000Z,2026-05-26T05:33:38.177Z
filename,.tar.gz,https://cybersecuritynews.com/node-ipc-npm-package-compromised,node-ipc npm Package with 822K Weekly Downloads Compromised in Supply Chain Attack,2026-05-14T18:08:21.000Z,2026-05-26T05:33:38.177Z
filename,/api/jquery.js,https://cybersecuritynews.com/clickfix-evolves-with-python-socks5-proxy,ClickFix Evolves with 10-Year-Old Open-Source Python SOCKS5 Proxy,2026-05-13T11:06:52.000Z,2026-05-26T05:33:38.177Z
filename,/config.js,https://cybersecuritynews.com/weaver-e-cology-rce-vulnerability-exploited,Critical Weaver E-cology RCE Vulnerability Actively Exploited in Attacks,2026-05-05T16:08:11.000Z,2026-05-26T05:33:38.177Z
filename,/config/xx.ps1,https://cybersecuritynews.com/weaver-e-cology-rce-vulnerability-exploited,Critical Weaver E-cology RCE Vulnerability Actively Exploited in Attacks,2026-05-05T16:08:11.000Z,2026-05-26T05:33:38.177Z
